0.0 0
0.0905768 3400
0.0905768 3400
0.18279 3740
0.185942 4080
0.189094 4420
0.192246 4760
0.195398 5100
0.274961 5440
0.278113 5780
0.281265 6120
0.284417 6460
0.287569 6800
0.290721 7140
0.293873 7480
0.367131 7820
0.370283 8160
0.373435 8500
0.376587 8840
0.379739 9180
0.382891 9520
0.386043 9860
0.389195 10200
0.392347 10540
0.395499 10880
0.398651 11220
0.460878 11560
0.46403 11900
0.467182 12240
0.470334 12580
0.473486 12920
0.476638 13260
0.47979 13600
0.482942 13940
0.486094 14280
0.489246 14620
0.492398 14960
0.49555 15300
0.498702 15640
0.501854 15980
0.505006 16320
0.508158 16660
0.553048 17000
0.5562 17340
0.559352 17680
0.562504 18020
0.565656 18360
0.568808 18700
0.57196 19040
0.575112 19380
0.578264 19720
0.581416 20060
0.584568 20400
0.58772 20740
0.590872 21080
0.594024 21420
0.597176 21760
0.600328 22100
0.60348 22440
0.606632 22780
0.609784 23120
0.612936 23460
0.616088 23800
0.61924 24140
0.622392 24480
0.625544 24820
0.645218 25160
0.64837 25500
0.651522 25840
0.654674 26180
0.657826 26520
0.660978 26860
0.66413 27200
0.667282 27540
0.670434 27880
0.673586 28220
0.676738 28560
0.67989 28900
0.683042 29240
0.686194 29580
0.689346 29920
0.692498 30260
0.69565 30600
0.698802 30940
0.701954 31280
0.705106 31620
0.708258 31960
0.71141 32300
0.714562 32640
0.717714 32980
0.720866 33320
0.724018 33660
0.72717 34000
0.730322 34340
0.733474 34680
0.736626 35020
0.739778 35360
0.74293 35700
0.746082 36040
0.749234 36380
0.752386 36720
0.755538 37060
0.75869 37400
0.761842 37740
0.764994 38080
0.768146 38420
0.771298 38760
0.77445 39100
0.777602 39440
0.780754 39780
0.783906 40120
0.787058 40460
0.79021 40800
0.793362 41140
0.796514 41480
0.799666 41820
0.802818 42160
0.80597 42500
0.809122 42840
0.812274 43180
0.815426 43520
0.818578 43860
0.82173 44200
0.824882 44540
0.828034 44880
0.831186 45220
0.834338 45560
0.83749 45900
0.840642 46240
0.843794 46580
0.846946 46920
0.850098 47260
0.85325 47600
0.856402 47940
0.859554 48280
0.862706 48620
0.865858 48960
0.86901 49300
0.872162 49640
0.875314 49980
0.878466 50320
0.881618 50660
0.88477 51000
0.887922 51340
0.891074 51680
0.894226 52020
0.897378 52360
0.90053 52700
0.903682 53040
0.906834 53380
0.909986 53720
0.913138 54060
0.91629 54400
0.919442 54740
0.922594 55080
0.925746 55420
0.928898 55760
0.93205 56100
0.935202 56440
0.938354 56780
0.941506 57120
0.944658 57460
0.94781 57800
0.950962 58140
0.954114 58480
0.957266 58820
0.960418 59160
0.96357 59500
0.966722 59840
0.969874 60180
0.973026 60520
0.976178 60860
0.97933 61200
0.982482 61540
0.985634 61880
0.988786 62220
0.991938 62560
0.99509 62900
0.998242 63240
1.00139 63580
1.00455 63920
1.0077 64260
1.01085 64600
1.014 64940
1.01715 65280
1.02031 65620
1.02346 65960
1.02661 66300
1.02976 66640
1.03291 66980
1.03607 67320
1.03922 67660
1.04237 68000
1.04552 68340
1.04867 68680
1.05183 69020
1.05498 69360
1.05813 69700
1.06128 70040
1.06443 70380
1.06759 70720
1.07074 71060
1.07389 71400
1.07704 71740
1.08019 72080
1.08335 72420
1.0865 72760
1.08965 73100
1.0928 73440
1.09595 73780
1.09911 74120
1.10226 74460
1.10541 74800
1.10856 75140
1.11171 75480
1.11487 75820
1.11802 76160
1.12117 76500
1.12432 76840
1.12747 77180
1.13063 77520
1.13378 77860
1.13693 78200
1.14008 78540
1.14323 78880
1.14639 79220
1.14954 79560
1.15269 79900
1.15584 80240
1.15899 80580
1.16215 80920
1.1653 81260
1.16845 81600
1.1716 81940
1.17475 82280
1.17791 82620
1.18106 82960
1.18421 83300
1.18736 83640
1.19051 83980
1.19367 84320
1.19682 84660
1.19997 85000
1.20312 85340
1.20627 85680
1.20943 86020
1.21258 86360
1.21573 86700
1.21888 87040
1.22203 87380
1.22519 87720
1.22834 88060
1.23149 88400
1.23464 88740
1.23779 89080
1.24095 89420
1.2441 89760
1.24725 90100
1.2504 90440
1.25355 90780
1.25671 91120
1.25986 91460
1.26301 91800
1.26616 92140
1.26931 92480
1.27247 92820
1.27562 93160
1.27877 93500
1.28192 93840
1.28507 94180
1.28823 94520
1.29138 94860
1.29453 95200
1.29768 95540
1.30083 95880
1.30399 96220
1.30714 96560
1.31029 96900
1.31344 97240
1.31659 97580
1.31975 97920
1.3229 98260
1.32605 98600
1.3292 98940
1.33235 99280
1.33551 99620
1.33866 99960
1.34181 100300
1.34496 100640
1.34811 100980
1.35127 101320
1.35442 101660
1.35757 102000
1.36072 102340
1.36387 102680
1.36703 103020
1.37018 103360
1.37333 103700
1.37648 104040
1.37963 104380
1.38279 104720
1.38594 105060
1.38909 105400
1.39224 105740
1.39539 106080
1.39855 106420
1.4017 106760
1.40485 107100
1.408 107440
1.41115 107780
1.41431 108120
1.41746 108460
1.42061 108800
1.42376 109140
1.42691 109480
1.43164 109480
1.43164 8841
2.76891 8841
2.76891 340
2.78278 680
2.87495 1020
2.96712 1360
3.05929 1700
3.06402 2040
3.15461 2380
3.15934 2720
3.24678 3060
3.25151 3400
3.25624 3740
3.34053 4080
3.34526 4420
3.34999 4760
3.35472 5100
3.43428 5440
3.43901 5780
3.44373 6120
3.44846 6460
3.45319 6800
3.52645 7140
3.53118 7480
3.5359 7820
3.54063 8160
3.54536 8500
3.55009 8840
3.55482 9180
3.55482 9192
3.62019 9204
3.62492 9216
3.62965 9228
3.63438 9240
3.63911 9252
3.64383 9264
3.64856 9276
3.65329 9288
3.65802 9300
